id,companyName,symbol,securityName,status,companyEmail,website,sectorName,regulatoryBody,instrumentType
2790,Aarambha Chautari Laghubitta Bittya Sanstha Limited,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,A,aarambhachautari@gmail.com,www.aarambhachautari.com,Microfinance,Nepal Rastra Bank,Equity
2792,Upper Tamakoshi Hydropower Ltd,UPPER,Upper Tamakoshi Hydropower Ltd,A,office@utkhpl.org.np,www.tamakhosihydro.org.np,Hydro Power,Nepal Hydropower Board,Equity
2804,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,A,samudayikbank@gmail.com,www.samudayikbank.com.np,Microfinance,Nepal Rastra Bank,Equity
2806,Ghalemdi Hydro Limited,GHL,Ghalemdi Hydro Limited,A,relinarenergy@gmail.com,www.ghalemdi.com,Hydro Power,Nepal Hydropower Board,Equity
2807,Asha Laghubitta Bittiya Sanstha Ltd.,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,A,info@ashamicrofinance.com.np,www.ashamicrofinance.com.np,Microfinance,Nepal Rastra Bank,Equity
2809,Shivam Cements Limited,SHIVM,SHIVAM CEMENTS LTD,A,info@shivamcement.com,www.shivamcement.com,Manufacturing And Processing,Department of Industry,Equity
2810,Universal Power Company Limited,UPCL,UNIVERSAL POWER COMPANY LTD,A,upcl.share@tkkhp.com.np,www.universalpowercompany.com.np,Hydro Power,Nepal Hydropower Board,Equity
2811,Mountain Hydro Nepal Limited,MHNL,Mountain Hydro Nepal Limited,A,mountainhydronepal@gmail.com,www.mountainhydronepal.com.np,Hydro Power,Nepal Hydropower Board,Equity
2812,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,D,info@sparshamicrofinance.com,www.sparshamicrofinance.com,Microfinance,Nepal Rastra Bank,Equity
2813,Panchthar Power Company Ltd,PPCL,Panchthar Power Compant Limited,A,ppchewa@gmail.com,www.ppcl.com.np,Hydro Power,Nepal Hydropower Board,Equity
2815,Ganapati Laghubitta Bittiya Sanstha Ltd,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,A,ganapati.micro@gmail.com,www.ganapatimicro.com.np,Microfinance,Nepal Rastra Bank,Equity
2816,Nepal Agro Laghubitta Bittiya Sanstha Ltd.,NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,D,operation@nepalagro.com.np,www.nepalagro.com.np,Microfinance,Nepal Rastra Bank,Equity
2824,Himalaya Urja Bikas Company Limited,HURJA,Himalaya Urja Bikas Company Limited,A,himalayaurja@gmail.com,www.himalurja.com,Hydro Power,Nepal Hydropower Board,Equity
2825,NIC Asia Bank Ltd.,NICAD85/86,10% NIC Asia Debenture 2085/86,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2826,Gurans Laghubitta Bittiya Sanstha Ltd,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,A,guranslbbs@gmail.com,www.guranslaghubitta.com.np,Microfinance,Nepal Rastra Bank,Equity
2828,Sanima Bank Limited,SAND2085,10% Sanima Bank Limited Debenture,A,RUDRA@sanimabank.com,www.sanimabank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2829,Swabhumaan Laghubitta Bittiya Sanstha Ltd,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,A,info@swabhimaanlaghubitta.com.np,www.swabhimaanmicrofinance.com,Microfinance,Nepal Rastra Bank,Equity
2831,Union Hydropower Limited,UNHPL,Union Hydropower Limited,A,unionhppl@gmail.com ,www.unionhydropower.com.np,Hydro Power,Nepal Hydropower Board,Equity
2832,Infinity Laghubitta Bittiya Sastha Ltd,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,A,ilbslfinance@gmail.com,www.infinitymbsl.com,Microfinance,Nepal Rastra Bank,Equity
2834,Sunrise Bank Limited,SRD80,10% Sunrise Debenture 2080,D,info@sunrisebank.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2835,Nabil Bank Limited,NBF2,NABIL BALANCED FUND-2,A,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2840,Global IME Bank Limited,GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,D,nlisting@gibl.com.np,http://www.globalimebank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2841,Rasuwagadhi Hydropower Company Limited,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,A,neupane.nar@gmail.com,www.rghpcl.com.np,Hydro Power,Nepal Hydropower Board,Equity
2842,SANJEN JALAVIDHYUT COMPANY LTD,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,A,sanjenhcl@gmail.com,www.sjcl.com.np,Hydro Power,Nepal Hydropower Board,Equity
2843,Sabaiko Laghubitta Bittiya Sanstha Limited,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,D,info@sabaikolaghubitta.com,www.sabaikolaghubitta.com,Microfinance,Nepal Rastra Bank,Equity
2845,Adhikhola Laghubitta Bittiya Sanstha Limited,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,D,adhikholalaghubitta@gmail.com,www.albs.com.np,Microfinance,Nepal Rastra Bank,Equity
2850,NMB Bank Limited,NMBD2085,10 % NMB DEBENTURE 2085,A,pramod.dahal@nmb.com.np,http://www.nmb.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2851,Nepal Investment Mega Bank Limited,NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082,A,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2852,ghodighoda laghubitta bittiya sanstha ltd,GGBSL,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,D,ghodighoda.mfi@gmail.com,www.ghodighoda.com.np,Microfinance,Nepal Rastra Bank,Equity
2854,Nepal Bangladesh Bank Limited,NBBD2085,10.25% NBBL Debenture 2085,A,bishwapoudel@nbbl.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2855,Tinau Mission Development Bank Ltd,TMDBL,Tinau Mission Development Bank Limited,D,reporting@tinaumissionbank.com,www.tinaumissionbank.com,Development Banks,Nepal Rastra Bank,Equity
2859,Siddhartha Bank Limited,SIGS2,Siddhartha Investment Growth Scheme - 2,A,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2860,Saptakoshi Development bank Ltd,SAPDBL,Saptakoshi Development Bank Ltd,A,info@skdbl.com.np,www.skdbl.com.np,Development Banks,Nepal Rastra Bank,Equity
2862,CBIL Capital Limited,CMF2,CITIZENS MUTUAL FUND 2,A,info@cbilcapital.com,www.cbilcapital.com,Mutual Fund,Nepal Rastra Bank,Mutual Funds
2863,NIC ASIA Capital Ltd,NICBF,NIC Asia Balanced Fund,A,info@nicasiacapital.com,www.nicasiacapital.com,Mutual Fund,Nepal Rastra Bank,Mutual Funds
2864,Siddhartha Bank Limited,SBLD83,10.25% SBL Debenture 2083,A,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2866,Machhapuchhre Bank Limited,MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,A,machbank@mbl.com.np,http://www.machbank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2867,NMB Capital Ltd.,NMB50,NMB 50,A,mutualfunds@nmbcl.com.np,www.nmbcl.com.np,Mutual Fund,Nepal Rastra Bank,Mutual Funds
2868,NIC Asia Bank Ltd.,NICD83/84,10.25% NIC Asia Debenture 2083/84,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2869,NIC Asia Bank Ltd.,NICAD8283,11% NIC Asia Debenture 082/83,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2870,Bank of Kathmandu Ltd.,BOKD2079,8% BOK Debenture 2079,D,deepak.gautam@bok.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2871,Everest Bank Limited,EBLD2078,8% EBL Debenture 2078,D,sharedept@ebl.com.np,www.everestbankltd.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2872,Siddhartha Bank Limited,SBLD2082,10.50% SBL Debenture 2082,A,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2873,Himalayan Bank Limited,HBLD83,10% Himalayan Bank Debenture 2083,A,legal@himalayanbank.com,https://www.himalayanbank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2875,Prabhu  Bank Limited,PBLD86,10.25% Prabhu Bank  Debenture 2086,A,amit.bhandari@prabhubank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2877,Laxmi Sunrise Bank Limited,SFMF,Sunrise First Mutual Fund,A,piyush.aryal@laxmibank.com,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2878,Sunrise Bank Limited,SRBLD83,10.25% Sunrise Bank Debenture 2083,A,info@sunrisebank.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2879,Laxmi Sunrise Bank Limited,LBLD86,10% Laxmi Bank Debenture 2086,A,piyush.aryal@laxmibank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2880,Himal Dolakha Hydropower Com. Ltd.,HDHPC,Himal Dolakha Hydropower Company Limited,A,hydrohimaldolakha@gmail.com,www.himaldolakhahydro.com,Hydro Power,Nepal Hydropower Board,Equity
2881,Nepal Reinsurance Company Limited,NRIC,Nepal Reinsurance Company Limited,A,nepalre@ntc.net.np,www.nepalre.com.np,Others,N/A,Equity
2882,ICFC Finance Limited,ICFCD83,12% ICFC Finance Limited Debenture 2083,A,nepsereport@icfcbank.com,www.icfc.com.np,Finance,Nepal Rastra Bank,Non-Convertible Debentures
2883,Goodwill Finance Limited,GWFD83,12 % Goodwill Finance Limited Debenture 2083,A,info@goodwill.net.np,https://goodwillfinance.com.np/,Finance,Nepal Rastra Bank,Non-Convertible Debentures
2885,Kumari Bank Limited,KBLD86,10.25% KBL Debenture 2086,A,info@kumaribank.com,http://www.kumaribank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2886,Agricultural Development Bank Limited,ADBLD83,10.35% Agricultural Bank Debenture 2083,A,cs@adbl.gov.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2887,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,A,deepit.shrestha@nicasialaghubitta.com,www.nicasialaghubitta.com,Microfinance,Nepal Rastra Bank,Equity
2889,Citizens Bank International Limited,CIZBD86,10.25% Citizens Bank Debenture 2086,A,rajendra.shrestha@ctznbank.com,www.ctznbank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2890,Nepal SBI Bank Limited,SBIBD86,10% Nepal SBI Bank Debenture 2086,A,cs@nsbl.com.np,https://nsbl.statebank,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2892,Nabil Bank Limited,NBLD82,10% Nabil Debenture 2082,A,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2893,Ajod Insurance Ltd,AIL,Ajod Insurance Limited,D,info@ajodinsurance.com,www.ajodinsurance.com,Non Life Insurance,Nepal Insurance Board,Equity
2895,NIC Asia Bank Ltd.,NICAD8182,9% NIC Asia Debenture 2081/82,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2896,Sampada Laghubitta Bittiya Sanstha Limited,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,A,resham.sadhana@gmail.com,www.sadhanlaghubitta.com.np,Microfinance,Nepal Rastra Bank,Equity
2898,NRN Infrastructure and Development Limited,NRN,NRN Infrastructure and Development Limited,A,nrninvestmentltd@gmail.com,www.nrinl.com,Investment,Nepal Rastra Bank,Equity
2900,Reliance Life Insurance Limited,RLI,Reliance Life Insurance Limited,D,info@relifeinsurance.com,www.relifeinsurance.com,Life Insurance,Nepal Insurance Board,Equity
2902,Laxmi Capital Market Limited,LUK,Laxmi Unnati Kosh,A,info@laxmicapital.com.np,www.laxmicapital.com.np,Mutual Fund,Nepal Rastra Bank,Mutual Funds
2903,Liberty Energy Company Limited,LEC,Liberty Energy Company Limited,A,liberty@libertyenergy.com.np,www.libertyenergy.com.np,Hydro Power,Nepal Hydropower Board,Equity
2904,Prabhu  Bank Limited,PBLD84,10% Prabhu Bank Debenture 2084 ,A,amit.bhandari@prabhubank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2905,General Insurance Company Nepal Ltd,GIC,General Insurance Company Nepal Ltd,D,ram@generalinsurance.com.np,www.gicnepal.com,Non Life Insurance,Nepal Insurance Board,Equity
2907,Shiva Shree Hydropower Limited,SSHL,Shiva Shree Hydropower Ltd,A,shivashreehydropowerltd@gmail.com,www.shivashreehdyro.com,Hydro Power,Nepal Hydropower Board,Equity
2908,Sanima GIC Insurance Limited,SGIC,Sanima GIC Insurance Limited,A,sanima@sanimageneral.com,www.sanimageneral.com,Non Life Insurance,Nepal Insurance Board,Equity
2912,Siddhartha Bank Limited,SBLD84,8.5% SBL Debenture 2084,A,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2913,Mountain Energy Nepal Limited,MEN,Mountain Energy Nepal Limited,A,rajendra.sharma@mountainenergy.com.np,www.mountainenergy.com.np,Hydro Power,Nepal Hydropower Board,Equity
2914,United Idi Mardi & RB Hydropower Ltd,UMRH,United IDI Mardi RB Hydropower Limited.,A,unitedidimardi7mw@gmail.com,www.idimardihydro.com.np,Hydro Power,Nepal Hydropower Board,Equity
2915,Prabhu Mahalaxmi Life Insurance Limited,PMLI,Prabhu Mahalaxmi Life Insurance Limited,A,kishor.lamichhane@pmlil.com,www.pmlil.com,Life Insurance,Nepal Insurance Board,Equity
2917,Chandragiri Hills Limited,CGH,Chandragiri Hills Limited,A,jhalak.sharma@chandragirihills.com,www.chandragirihills.com,Hotels And Tourism,Ministry of Tourism,Equity
2919,Nepal Infrastructure Bank Limited,NIFRA,Nepal Infrastructure Bank Limited,A,iswor.gautam@nifrabank.com,https://www.nifrabank.com,Investment,Nepal Rastra Bank,Equity
2922,Sanima Bank Limited,SBD87,8.5% Sanima Debenture 2087,A,RUDRA@sanimabank.com,www.sanimabank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2923,Sanima Bank Limited,SLCF,Sanima Large Cap Fund,A,RUDRA@sanimabank.com,www.sanimabank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2924,Greenlife Hydropower Limited,GLH,GreenLife Hydropower Limited,A,nepalgreenlife@gmail.com,www.greenlifehydropower.com.np,Hydro Power,Nepal Hydropower Board,Equity
2925,Mahila Laghubitta Bittiya Sanstha Ltd,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,A,mlbsl.nepal@gmail.com,www.mlbsl.com.np,Microfinance,Nepal Rastra Bank,Equity
2929,Jyoti Life Insurance Company Limited,JLI,Jyoti Life Insurance Company Limited,D,info@jyotilife.com,www.jyotilife.com,Life Insurance,Nepal Insurance Board,Equity
2931,Nepal Investment Mega Bank Limited,NIBD84,8.5% Nepal Investment Bank Debenture 2084,A,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2932,Manjushree Finance Ltd.,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,A,info@manjushreefinance.com.np,manjushreefinance.com.np,Finance,Nepal Rastra Bank,Non-Convertible Debentures
2933,Kumari Bank Limited,KEF,Kumari Equity Fund,A,info@kumaribank.com,http://www.kumaribank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2934,Singati Hydro Energy Ltd,SHEL,Singati Hydro Energy Limited,A,shehydro@gmail.com,www.singatihydro.com,Hydro Power,Nepal Hydropower Board,Equity
2935,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Ru Ru Jalbidhyut Pariyojana Limited,A,contact@ruruhydro.com,www.ruruhydro.com,Hydro Power,Nepal Hydropower Board,Equity
2936,Nepal Credit And Commercial Bank Limited,NCCD86,9.5% NCC Debenture 2086,A,corporate@nccbank.com.np,http://www.nccbank.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
2937,Sunrise Bank Limited,SBCF,Sunrise Bluechip Fund,A,info@sunrisebank.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
3946,CEDB Hydropower Development Company Limited,CHDC,CEDB Hydropower Development Company Limited,A,chf@chf.com.np,www.chdc.com.np,Investment,Nepal Rastra Bank,Equity
4947,Prabhu  Bank Limited,PSF,Prabhu Select Fund,A,amit.bhandari@prabhubank.com,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
4948,Kamana Sewa Bikas Bank Limited,KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,A,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/,Development Banks,Nepal Rastra Bank,Non-Convertible Debentures
4949,Nepal Investment Mega Bank Limited,NIBSF2,NIBL Samriddhi Fund -2,A,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np,Commercial Banks,Nepal Rastra Bank,Mutual Funds
4951,Jeevan Bikas Laghubitta Bittiya Sanstha Ltd,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,A,info@jeevanbikasmf.com,www.jeevanbikasmf.com,Microfinance,Nepal Rastra Bank,Equity
4955,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,D,manakamanalbs@gmail.com,www.manakamanalbs.com,Microfinance,Nepal Rastra Bank,Equity
4956,UnionLife Insurance Co. Ltd.,ULI,Union Life Insurance Company Limited,D,kapil@unionlife.com.np,www.unionlife.com.np,Life Insurance,Nepal Insurance Board,Equity
4959,Nepal Bank Limited,NBLD87,8.5% Nepal Bank Debenture 2087,A,suresh.ghimire@nbl.com.np,www.nepalbank.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
4960,Agricultural Development Bank Limited,ADBLB,4% Agricultural Bond,A,cs@adbl.gov.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
4961,Bank of Kathmandu Ltd.,BOKD86,8.5% BOK Debenture 2086,A,deepak.gautam@bok.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
4962,Prabhu  Bank Limited,PBLD87,8.5% Prabhu Bank Debenture 2087,A,amit.bhandari@prabhubank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
4963,NMB Bank Limited,NMBD87/88,NMB Debenture 8.50% - 2087/88,A,pramod.dahal@nmb.com.np,http://www.nmb.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
4964,NMB Bank Limited,NMBEB92/93,NMB Energy Bond 4% - 2092/93,A,pramod.dahal@nmb.com.np,http://www.nmb.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
4965,Samaj Laghubitta Bittiya Sanstha Ltd,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,A,samajlbsl@gmail.com,www.samajlaghubitta.org.np,Microfinance,Nepal Rastra Bank,Equity
4967,NIC ASIA Capital Ltd,NICSF,NIC Asia Select Fund 30,A,info@nicasiacapital.com,www.nicasiacapital.com,Mutual Fund,Nepal Rastra Bank,Mutual Funds
4968,RBB Merchant Banking Limited,RMF1,RBB Mutual Fund 1,A,rbbmbl@rbbmbl.com.np,www.rbbmbl.com.np,Mutual Fund,Nepal Rastra Bank,Mutual Funds
4969,Muktinath Bikas Bank Ltd.,MND84/85,Muktinath Debenture 2084/85,A,info@muktinathbank.com.np,,Development Banks,Nepal Rastra Bank,Non-Convertible Debentures
5982,Sanima Reliance Life Insurance Limited,SRLI,Sanima Reliance Life Insurance Limited,A,sanima@sanimalife.com,www.sanimalife.com,Life Insurance,Nepal Insurance Board,Equity
5984,Laxmi Sunrise Bank Limited,LBLD88,8.5% Laxmi Bank Debenture 2088,A,piyush.aryal@laxmibank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
6984,Prime Commercial Bank Ltd.,PBD85,8.75 % Prime Debenture 2085,A,CS@pcbl.com.np,www.primebank.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
6985,SHANGRI-LA DEVELOPMENT BANK LIMITED,SDBD87,Shangri-la Development Bank Debenture 2087,A,info@shangrilabank.com,www.shangrilabank.com,Development Banks,Nepal Rastra Bank,Non-Convertible Debentures
7985,Machhapuchhre Bank Limited,MBLD87,8.5% Machhapuchchhre Debenture 2087,A,machbank@mbl.com.np,http://www.machbank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
7986,NIC Asia Bank Ltd.,NICD88,NIC ASIA Rinpatra 2088,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8003,Rastriya Banijya Bank,RBBD83,8.5% RBBL Debenture 2083,A,info.rbb@rbb.com.np,www.rbb.com.np,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8004,Global IME Bank Limited,GBILD86/87,Global IME Bank Limited Debenture 2086/87,A,nlisting@gibl.com.np,http://www.globalimebank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8005,Mailung Khola Jal Vidhyut Company Limited,MKJC,Mailung Khola Jal Vidhyut Company Limited,A,mailung.mkjc@gmail.com,www.mailunhkhola.com.np,Hydro Power,Nepal Hydropower Board,Equity
8018,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,A,info@manushilbs.com.np,https://www.manushilbs.com,Microfinance,Nepal Rastra Bank,Equity
8020,Jyoti Bikas Bank Limited,JBBD87,Jyoti Bikash Bank Bond 2087,A,krishna.oasti@jbbl.com.np,,Development Banks,Nepal Rastra Bank,Non-Convertible Debentures
8021,Sahas Urja Limited,SAHAS,Sahas Urja Limited,A,surja@sahasurja.com,www.sahasurja.com,Hydro Power,Nepal Hydropower Board,Equity
8022,Terhathum Power Company Limited,TPC,Terhathum Power Company Limited,A,terathumpc@gmail.com,www.terhathumpc.com,Hydro Power,Nepal Hydropower Board,Equity
8023,Mega  Bank Nepal Ltd.,MMF1,Mega Mutual Fund -1,A,nepse@megabank.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
8024,Nabil Bank Limited,NBF3,Nabil Balanced Fund-3,A,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
8025,Samling power company limited,SPC,Samling Power Company Limited,A,info@urjadeveloper.com,spcl.com.np,Hydro Power,Nepal Hydropower Board,Equity
8026,Nyadi hydropower limited,NYADI,Nyadi Hydropower Limited,A,nhl@nhl.com.np,www.nhl.com.np,Hydro Power,Nepal Hydropower Board,Equity
8027,Nabil Bank Limited,NBLD85,Nabil Debenture 2085,A,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8029,Agricultural Development Bank Limited,ADBLB86,Agricultural Bond (8 Year),A,cs@adbl.gov.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8030,Agricultural Development Bank Limited,ADBLB87,Agricultural Bond (9 Year),A,cs@adbl.gov.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8031,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,A,admin@mbjcl.com.np,www.mbjcl.com.np,Hydro Power,Nepal Hydropower Board,Equity
8032,Buddha bhumi nepal hydro power company limited,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,A,lowertadi@gmail.com,https://buddhabhumihydro.com/,Hydro Power,Nepal Hydropower Board,Equity
8033,Garima Bikas Bank Limited,GBBD85,"Garima Debenture, 2085",A,info@garimabank.com.np,,Development Banks,Nepal Rastra Bank,Non-Convertible Debentures
8034,Emerging nepal limited,ENL,Emerging Nepal Limited,A,mail@emergingnep.com,https://www.emergingnep.com,Investment,Nepal Rastra Bank,Equity
8036,Rastra Utthan Laghubitta Sanstha Limited,RULB,Rastra Utthan Laghubitta Sanstha Limited,D,info@rulbsl.com.np,www.rulbsl.com.np,Microfinance,Nepal Rastra Bank,Equity
8038,Jalpa Samudayik Laghubitta Sanstha Limited,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,D,info@jalpamf.com.np,www.jalpamf.com.np,Microfinance,Nepal Rastra Bank,Equity
8041,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,A,nesdosmfi@gmail.com,https://slbs.nesdonepal.org,Microfinance,Nepal Rastra Bank,Equity
8043,Civil Bank Ltd,CBLD88,Civil Bank Debenture 2088,A,hirakaji.basnet@civilbank.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8044,Everest Bank Limited,EBLD86,Everest Bank Limited,A,sharedept@ebl.com.np,www.everestbankltd.com,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8045,Green Ventures Limited,GVL,Green Ventures Limited,A,frontdesk@trivenihydro.com,www.greenventuresnepal.com,Hydro Power,Nepal Hydropower Board,Equity
8055,Balephi Hydropower Limited,BHL,Balephi Hydropower Limited,A,info.balephi@gmail.com,www.balephihydro.com,Hydro Power,Nepal Hydropower Board,Equity
8063,Upakar Laghubitta Bittiya  Sanstha  Limited,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,A,upakar.banke1@gmail.com,www.ulbsl.com.np,Microfinance,Nepal Rastra Bank,Equity
8065,CYC Nepal laghubitta Bittiya Sanstha Limited,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,A,info@cycnlbsl.org.np,www.cycnlbsl.org.np,Microfinance,Nepal Rastra Bank,Equity
8066,River Falls power Limited,RFPL,River Falls Power Limited,A,riverfallshydropower@gmail.com,www.riverfallshydro.com.np,Hydro Power,Nepal Hydropower Board,Equity
8068,Century Commercial Bank Ltd.,CCBD88,Century Debenture 2088,A,welcome@centurybank.com.np,,Commercial Banks,Nepal Rastra Bank,Non-Convertible Debentures
8070,Dordi Khola Jal Bidyut Company limited,DORDI,Dordi Khola Jal Bidyut Company Limited,A,info@dordikhola.com.np,www.dordikhola.com.np,Hydro Power,Nepal Hydropower Board,Equity
8071,Adarsha Laghubitta Bittiya Sanstha Limited,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,D,adarshalbbs@gmail.com,www.adarshamicrofinance.com,Microfinance,Nepal Rastra Bank,Equity
8073,NIC Asia Bank Ltd.,NICFC,NIC Asia Flexi CAP Fund,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
8074,Kumari Bank Limited,KDBY,Kumari Dhanabriddhi Yojana,A,info@kumaribank.com,http://www.kumaribank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
8075,Bindhyabasini Hydropower Development Company Limited,BHDC,Bindhyabasini Hydropower Development Company Limited,A,info.bhdc@rmgroup.com.np,https://bindhyabasinihydro.com.np,Hydro Power,Nepal Hydropower Board,Equity
8076,Himalayan Hydropower Limited,HHL,Himalayan Hydropower Limited,A,himalayanhydro2021@gmail.com,www.hhpl.com.np,Hydro Power,Nepal Hydropower Board,Equity
